customer_id,province,district,cluster_id,cluster_name,age,gender,budget_min_npr,budget_max_npr,preferred_brand,brand_loyalty_score,gaming_interest,camera_interest,battery_interest,display_interest,performance_interest,software_interest,value_interest,chipset_tier
CUST-01601938,Lumbini Province,Gulmi,1,Mainstream Mid-Range Shopper,65,Female,41424,58070,Realme,1.0,38.6,46.6,72.5,44.2,53.8,44.7,94.6,Mid
CUST-01697F11,Lumbini Province,Banke,1,Mainstream Mid-Range Shopper,30,Male,35620,80133,Xiaomi,0.5,43.7,51.1,90.0,46.3,55.8,54.2,72.9,Mid
CUST-017601C7,Bagmati Province,Kathmandu,1,Mainstream Mid-Range Shopper,46,Female,25088,59709,Motorola,0.75,57.7,49.5,51.0,40.7,50.5,58.9,68.0,Mid
CUST-01C2044F,Madhesh Province,Bara,1,Mainstream Mid-Range Shopper,71,Male,36980,45664,Xiaomi,1.0,58.6,45.8,79.8,54.5,38.8,44.5,60.8,Mid
CUST-01D1970D,Koshi Province,Udayapur,1,Mainstream Mid-Range Shopper,49,Male,41443,55281,Infinix,0.33,52.7,53.6,56.7,40.9,45.0,54.9,80.2,Mid
CUST-01D31705,Bagmati Province,Dolakha,0,Hardcore Gamer (Flagship),30,Female,32748,77644,Samsung,0.67,88.0,53.5,56.1,73.3,81.2,50.6,50.1,Flagship
CUST-01E25FE2,Koshi Province,Panchthar,1,Mainstream Mid-Range Shopper,57,Female,26476,71041,Xiaomi,0.75,52.6,48.6,57.2,62.8,74.3,65.1,48.7,Mid
CUST-01EE0C8E,Bagmati Province,Nuwakot,1,Mainstream Mid-Range Shopper,42,Male,34226,48990,Infinix,0.75,58.3,57.0,38.7,49.2,56.7,51.1,64.2,Mid
CUST-01F47AFA,Lumbini Province,Banke,1,Mainstream Mid-Range Shopper,30,Male,34835,71601,Apple,0.25,40.9,64.3,40.4,59.4,63.5,82.7,49.5,Mid
CUST-0201D227,Gandaki Province,Tanahun,2,Premium Flagship Shopper,55,Female,112537,123280,Samsung,0.75,47.7,51.2,71.7,56.5,53.0,47.6,52.0,Flagship
CUST-0202E68F,Lumbini Province,Bardiya,2,Premium Flagship Shopper,46,Female,85715,229474,Huawei,0.5,76.3,60.5,54.7,63.9,71.3,54.3,49.5,Flagship
CUST-02074A62,Karnali Province,Dolpa,3,Budget Buyer,44,Other,15257,23488,Vivo,0.67,48.0,60.5,62.1,61.9,55.6,56.8,78.4,Budget
CUST-0223C16C,Bagmati Province,Chitwan,2,Premium Flagship Shopper,53,Male,73595,163894,Samsung,1.0,55.3,43.2,48.6,78.8,42.6,65.4,32.7,Flagship
CUST-023410B2,Lumbini Province,Dang,2,Premium Flagship Shopper,44,Male,108522,151348,Samsung,1.0,44.9,53.3,76.1,51.2,52.4,52.6,65.7,Flagship
CUST-024D996B,Sudurpashchim Province,Baitadi,0,Hardcore Gamer (Flagship),60,Male,40379,48723,Honor,0.4,88.6,45.7,54.9,60.7,72.8,66.4,62.0,Flagship
CUST-026DE349,Koshi Province,Khotang,1,Mainstream Mid-Range Shopper,50,Male,22957,49305,Honor,0.67,48.3,44.8,51.6,67.4,68.4,47.2,49.1,Mid
CUST-02710D81,Lumbini Province,Eastern Rukum,2,Premium Flagship Shopper,61,Other,98291,227567,Oppo,1.0,47.2,47.1,47.3,65.1,53.7,51.7,52.7,Flagship
CUST-0273C3DD,Madhesh Province,Bara,2,Premium Flagship Shopper,46,Female,70926,246552,Xiaomi,0.8,62.3,90.3,52.9,52.7,43.4,68.1,68.2,Flagship
CUST-028A21E4,Gandaki Province,Parbat,1,Mainstream Mid-Range Shopper,53,Female,27537,59303,Xiaomi,0.67,57.7,47.6,58.6,55.9,51.4,54.9,81.7,Mid
CUST-02971554,Madhesh Province,Saptari,1,Mainstream Mid-Range Shopper,55,Female,40611,78498,Xiaomi,0.33,37.8,51.1,49.4,85.3,51.7,63.3,53.0,Mid
CUST-029F9692,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,47,Male,26633,54325,Samsung,1.0,46.4,86.8,51.5,53.7,56.5,58.5,44.3,Mid
CUST-02AE6F3E,Koshi Province,Sankhuwasabha,0,Hardcore Gamer (Flagship),44,Male,102584,222164,Samsung,0.0,92.7,51.1,52.7,65.0,70.5,61.4,49.0,Flagship
CUST-02B0C054,Gandaki Province,Myagdi,1,Mainstream Mid-Range Shopper,52,Male,40445,52455,Oppo,0.67,45.0,52.0,80.8,53.7,47.4,50.5,58.7,Mid
CUST-02C03FE8,Gandaki Province,Parbat,2,Premium Flagship Shopper,49,Female,76239,183619,Samsung,0.4,59.5,61.5,82.4,43.1,50.6,47.8,66.5,Flagship
CUST-02DD96D9,Bagmati Province,Ramechhap,1,Mainstream Mid-Range Shopper,48,Male,36214,78878,Oppo,0.33,51.8,60.5,50.3,77.6,61.6,49.9,53.0,Mid
CUST-031356AD,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,74,Male,43969,80828,Xiaomi,0.67,48.8,100.0,50.2,43.6,42.9,66.6,58.5,Mid
CUST-03189350,Karnali Province,Mugu,2,Premium Flagship Shopper,48,Female,77281,228334,Samsung,0.0,52.1,46.7,54.5,63.3,85.7,72.2,47.3,Flagship
CUST-031AE396,Madhesh Province,Rautahat,1,Mainstream Mid-Range Shopper,64,Male,20978,66277,Samsung,0.67,53.8,56.2,47.8,75.1,52.3,48.4,50.6,Mid
CUST-031ED924,Bagmati Province,Lalitpur,1,Mainstream Mid-Range Shopper,67,Male,35520,86685,Vivo,0.5,55.4,55.7,82.6,44.8,48.5,36.1,70.3,Mid
CUST-0343BE2F,Koshi Province,Sankhuwasabha,1,Mainstream Mid-Range Shopper,52,Male,37741,45791,Oppo,0.33,47.5,52.3,76.5,64.1,48.8,54.3,60.2,Mid
CUST-035961D6,Sudurpashchim Province,Kailali,1,Mainstream Mid-Range Shopper,43,Male,28565,73096,Oppo,0.0,52.1,55.9,42.8,66.3,59.1,44.7,48.7,Mid
CUST-0361D6ED,Bagmati Province,Sindhuli,0,Hardcore Gamer (Flagship),47,Male,23765,45531,Xiaomi,0.67,83.5,46.9,53.0,66.5,76.7,56.5,52.9,Flagship
CUST-037418C8,Karnali Province,Jumla,2,Premium Flagship Shopper,42,Female,81229,134319,Realme,0.5,46.5,49.8,46.9,60.3,73.3,73.2,67.6,Flagship
CUST-03876BFC,Sudurpashchim Province,Kailali,1,Mainstream Mid-Range Shopper,49,Female,44364,84158,Xiaomi,1.0,43.4,53.1,51.1,65.5,60.4,65.3,58.2,Mid
CUST-0394057C,Karnali Province,Salyan,1,Mainstream Mid-Range Shopper,32,Male,33313,70028,Apple,0.5,74.5,53.2,44.7,61.0,76.5,69.5,62.7,Mid
CUST-0398E2A1,Karnali Province,Humla,1,Mainstream Mid-Range Shopper,33,Male,41345,89930,Xiaomi,1.0,56.2,53.0,84.2,46.0,51.3,41.4,64.7,Mid
CUST-03A27CE3,Bagmati Province,Bhaktapur,1,Mainstream Mid-Range Shopper,52,Male,34304,70648,Samsung,0.0,48.8,51.7,51.8,78.4,60.4,59.6,47.8,Mid
CUST-03A2E62B,Karnali Province,Western Rukum,2,Premium Flagship Shopper,45,Male,95901,120751,Samsung,0.67,50.4,58.1,65.2,49.4,45.7,49.0,65.0,Flagship
CUST-03B220B9,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,42,Other,29202,64567,Samsung,0.5,50.6,54.0,48.5,73.8,60.8,74.6,47.2,Mid
CUST-03E1AB14,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,50,Female,24716,80739,Samsung,0.5,45.0,81.1,46.4,61.0,57.6,60.5,51.8,Mid
CUST-04412B87,Madhesh Province,Bara,1,Mainstream Mid-Range Shopper,45,Male,30549,47443,Oppo,0.33,56.3,54.9,59.7,60.3,58.8,54.0,39.6,Mid
CUST-04434BC9,Bagmati Province,Kathmandu,1,Mainstream Mid-Range Shopper,51,Female,44083,51951,Xiaomi,1.0,57.7,57.1,54.5,65.7,72.0,67.6,54.8,Mid
CUST-0454D465,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,41,Female,21434,70809,Xiaomi,0.4,57.2,83.6,49.6,73.0,42.2,62.6,67.1,Mid
CUST-046C5D3E,Lumbini Province,Eastern Rukum,3,Budget Buyer,60,Male,8525,22099,Samsung,0.67,52.2,59.3,63.1,80.2,72.7,64.4,35.6,Budget
CUST-0492E475,Koshi Province,Ilam,1,Mainstream Mid-Range Shopper,57,Male,26695,56228,Vivo,1.0,42.4,54.5,86.7,47.6,51.3,44.9,56.9,Mid
CUST-04A5FB0C,Gandaki Province,Nawalpur,1,Mainstream Mid-Range Shopper,34,Male,27234,45651,Xiaomi,0.5,46.8,59.7,74.7,54.4,40.2,45.8,78.1,Mid
CUST-04AF3031,Gandaki Province,Myagdi,2,Premium Flagship Shopper,35,Female,98003,140567,Realme,1.0,50.0,48.4,53.0,45.4,48.8,44.6,92.6,Flagship
CUST-04BF1FC1,Koshi Province,Udayapur,0,Hardcore Gamer (Flagship),40,Female,31795,66985,Xiaomi,1.0,76.1,51.6,52.0,70.8,70.0,46.9,50.4,Mid
CUST-04C5FA2F,Lumbini Province,Palpa,1,Mainstream Mid-Range Shopper,34,Female,31765,60338,Huawei,1.0,43.3,67.0,73.3,53.7,58.5,47.2,56.2,Mid
CUST-04C7DA1C,Bagmati Province,Bhaktapur,1,Mainstream Mid-Range Shopper,43,Male,35472,81068,Vivo,0.6,53.3,45.1,63.3,55.0,57.7,52.9,73.6,Mid
CUST-04D18482,Lumbini Province,Banke,3,Budget Buyer,36,Male,13858,29574,Oppo,0.33,43.2,59.1,51.3,56.7,72.9,75.3,55.9,Budget
CUST-04F420C2,Lumbini Province,Banke,1,Mainstream Mid-Range Shopper,60,Female,30776,57660,Nokia,0.4,43.2,54.7,58.9,59.1,67.5,61.5,44.1,Mid
CUST-05036305,Lumbini Province,Arghakhanchi,1,Mainstream Mid-Range Shopper,50,Female,32933,54392,Tecno,0.33,46.8,54.3,51.6,73.1,53.5,50.8,58.4,Mid
CUST-050C5F30,Karnali Province,Kalikot,2,Premium Flagship Shopper,53,Male,96084,181051,Apple,1.0,47.9,54.8,38.4,57.6,76.7,75.2,48.3,Flagship
CUST-051EE22E,Gandaki Province,Gorkha,2,Premium Flagship Shopper,53,Male,109785,182418,Motorola,0.33,44.7,49.9,63.6,54.3,35.1,45.7,73.2,Flagship
CUST-052E555B,Bagmati Province,Bhaktapur,2,Premium Flagship Shopper,39,Male,95789,179951,Samsung,0.33,51.6,44.5,72.7,53.3,64.9,52.5,54.4,Flagship
CUST-053A0D0E,Koshi Province,Bhojpur,2,Premium Flagship Shopper,25,Female,100925,148000,Xiaomi,0.6,45.0,52.6,49.9,52.1,70.0,62.1,55.9,Flagship
CUST-054247A9,Sudurpashchim Province,Bajura,1,Mainstream Mid-Range Shopper,42,Female,32784,83561,Apple,0.5,56.7,63.9,58.7,66.7,56.3,68.9,41.5,Mid
CUST-0547FB7F,Sudurpashchim Province,Kailali,2,Premium Flagship Shopper,36,Male,75021,207421,Realme,0.5,60.3,52.7,77.1,48.4,44.5,42.2,62.1,Flagship
CUST-055A6CEA,Gandaki Province,Manang,1,Mainstream Mid-Range Shopper,63,Female,28832,64522,Samsung,0.67,52.3,50.0,55.7,53.4,40.4,56.1,60.5,Mid
CUST-056D75B1,Madhesh Province,Rautahat,2,Premium Flagship Shopper,57,Female,104866,130728,Samsung,0.67,52.8,45.7,82.5,49.9,45.1,45.4,57.5,Flagship
CUST-056D8425,Koshi Province,Solukhumbu,2,Premium Flagship Shopper,42,Male,94600,123959,Realme,0.67,52.2,56.5,73.0,48.0,49.3,56.1,60.8,Flagship
CUST-05822758,Bagmati Province,Chitwan,1,Mainstream Mid-Range Shopper,38,Female,41095,48311,Oppo,0.75,57.5,61.3,86.2,54.1,54.2,53.8,60.7,Mid
CUST-0582BE7D,Lumbini Province,Rupandehi,1,Mainstream Mid-Range Shopper,48,Male,21690,59952,Xiaomi,1.0,50.1,45.4,42.4,68.6,50.3,60.6,46.5,Mid
CUST-058D93D3,Madhesh Province,Sarlahi,1,Mainstream Mid-Range Shopper,39,Male,33931,83798,Realme,0.75,46.0,63.4,53.4,64.1,62.1,64.6,65.4,Mid
CUST-05A190F5,Lumbini Province,Arghakhanchi,1,Mainstream Mid-Range Shopper,56,Male,44206,81210,Oppo,0.67,57.8,49.8,73.3,39.1,52.8,48.8,51.9,Mid
CUST-05AA4B0E,Koshi Province,Solukhumbu,2,Premium Flagship Shopper,47,Male,84823,150307,Samsung,0.75,45.5,60.0,52.6,60.4,70.9,80.7,53.3,Flagship
CUST-05B2C52B,Lumbini Province,Rupandehi,1,Mainstream Mid-Range Shopper,62,Male,29142,74304,Motorola,0.8,41.4,53.0,67.8,45.8,52.3,44.6,63.9,Mid
CUST-05B990FA,Koshi Province,Sankhuwasabha,1,Mainstream Mid-Range Shopper,59,Female,10697,20596,Xiaomi,0.75,53.5,54.4,80.8,43.9,57.4,47.8,74.7,Budget
CUST-05CDFC45,Bagmati Province,Chitwan,1,Mainstream Mid-Range Shopper,64,Male,20603,46332,Tecno,0.75,51.0,60.3,56.3,54.3,69.3,66.6,38.7,Mid
CUST-05D54902,Sudurpashchim Province,Bajura,1,Mainstream Mid-Range Shopper,43,Female,31860,49344,Xiaomi,0.67,50.2,47.6,55.4,75.6,53.5,59.4,46.4,Mid
CUST-05DA04B3,Bagmati Province,Lalitpur,1,Mainstream Mid-Range Shopper,60,Female,40542,76254,Samsung,1.0,46.6,53.9,60.0,53.1,47.2,65.1,67.8,Mid
CUST-05DABF38,Gandaki Province,Kaski,1,Mainstream Mid-Range Shopper,52,Male,44079,87836,Oppo,0.5,47.9,57.8,48.8,67.6,48.3,57.5,35.9,Mid
CUST-05DFC369,Koshi Province,Morang,1,Mainstream Mid-Range Shopper,47,Female,31155,70750,Vivo,0.75,49.9,87.4,52.9,47.1,51.6,56.2,41.5,Mid
CUST-05FDB915,Koshi Province,Bhojpur,1,Mainstream Mid-Range Shopper,46,Male,30582,59987,Xiaomi,1.0,51.3,49.3,50.3,52.3,63.0,66.0,55.8,Mid
CUST-05FE23CE,Madhesh Province,Dhanusha,2,Premium Flagship Shopper,39,Female,79019,220812,Vivo,0.0,56.1,53.5,56.3,53.1,39.6,44.5,66.2,Flagship
CUST-05FF1159,Lumbini Province,Banke,2,Premium Flagship Shopper,54,Female,105840,122883,Apple,0.5,47.9,62.5,90.7,56.8,34.0,69.9,63.9,Flagship
CUST-060EF684,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,46,Female,23963,60418,Oppo,1.0,51.7,58.6,55.4,53.3,47.1,61.1,76.4,Mid
CUST-06202214,Koshi Province,Jhapa,1,Mainstream Mid-Range Shopper,31,Female,24683,72622,Samsung,0.8,45.5,45.0,52.2,70.9,69.8,77.1,57.4,Mid
CUST-063BE53C,Lumbini Province,Rupandehi,3,Budget Buyer,53,Female,14685,19685,Samsung,0.67,42.1,37.6,66.6,52.4,47.9,58.2,55.3,Budget
CUST-064366F1,Gandaki Province,Lamjung,1,Mainstream Mid-Range Shopper,44,Female,32522,74437,Xiaomi,0.67,60.7,47.3,58.5,63.4,51.3,48.7,58.7,Mid
CUST-06549A4D,Madhesh Province,Parsa,1,Mainstream Mid-Range Shopper,55,Male,25372,70859,Vivo,1.0,44.7,54.6,51.3,69.6,47.4,56.7,50.8,Mid
CUST-06607CFD,Madhesh Province,Siraha,2,Premium Flagship Shopper,51,Male,102739,155258,Vivo,0.67,46.9,50.2,55.3,72.9,68.1,43.4,45.0,Flagship
CUST-06798E5A,Karnali Province,Humla,1,Mainstream Mid-Range Shopper,55,Male,29423,75977,Xiaomi,0.5,44.7,46.8,54.1,62.1,77.8,57.5,53.9,Mid
CUST-067D0AD3,Sudurpashchim Province,Kailali,2,Premium Flagship Shopper,67,Male,113782,189819,Samsung,0.75,62.0,57.5,72.7,53.9,54.8,54.2,57.5,Flagship
CUST-06BBDBDD,Koshi Province,Solukhumbu,1,Mainstream Mid-Range Shopper,39,Male,40956,67835,Xiaomi,1.0,55.6,49.0,52.1,69.9,44.4,58.5,52.1,Mid
CUST-06BC8A90,Madhesh Province,Parsa,2,Premium Flagship Shopper,50,Male,116437,178809,Samsung,0.33,52.2,49.4,55.4,62.0,60.8,73.4,69.4,Flagship
CUST-06C6055A,Koshi Province,Khotang,1,Mainstream Mid-Range Shopper,49,Female,20295,86329,Tecno,1.0,48.9,51.3,48.5,51.8,47.1,53.3,73.5,Mid
CUST-06C9C06F,Koshi Province,Solukhumbu,1,Mainstream Mid-Range Shopper,41,Male,32596,53631,Oppo,0.25,46.7,96.5,59.5,65.4,43.1,58.2,61.5,Mid
CUST-06CFBEC8,Sudurpashchim Province,Darchula,3,Budget Buyer,36,Female,9182,33376,Tecno,0.67,41.0,57.4,61.2,33.9,52.6,59.1,61.6,Budget
CUST-06EF400C,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,41,Female,30577,79039,Realme,0.33,51.1,47.0,52.0,59.3,68.4,63.6,55.8,Mid
CUST-06F9A285,Madhesh Province,Sarlahi,1,Mainstream Mid-Range Shopper,38,Female,33980,79996,Samsung,0.67,45.4,47.2,48.2,67.8,78.7,70.5,54.0,Mid
CUST-06FA5982,Koshi Province,Bhojpur,1,Mainstream Mid-Range Shopper,44,Male,26163,72591,Nokia,0.8,47.7,48.1,64.5,50.2,51.6,51.3,85.0,Mid
CUST-0707DE14,Bagmati Province,Dhading,1,Mainstream Mid-Range Shopper,47,Female,30910,63988,Samsung,1.0,55.1,49.3,49.9,56.2,53.1,64.8,61.6,Mid
CUST-073F9E97,Koshi Province,Dhankuta,2,Premium Flagship Shopper,38,Female,88492,178922,Apple,0.75,61.5,65.1,48.9,53.1,50.6,64.9,58.3,Flagship
CUST-07412B59,Madhesh Province,Parsa,2,Premium Flagship Shopper,43,Female,81412,199498,Apple,1.0,47.8,55.9,42.9,65.7,53.8,75.8,39.3,Flagship
CUST-07452706,Bagmati Province,Chitwan,1,Mainstream Mid-Range Shopper,53,Female,38631,55936,Nokia,0.75,46.6,37.0,48.5,53.8,62.5,41.0,49.0,Mid
CUST-0749A632,Bagmati Province,Bhaktapur,1,Mainstream Mid-Range Shopper,53,Male,38093,81317,Samsung,0.67,44.2,59.7,77.5,59.3,41.8,53.4,64.7,Mid
CUST-07510BFE,Lumbini Province,Rolpa,1,Mainstream Mid-Range Shopper,51,Female,34543,62660,Apple,0.5,56.0,51.5,52.1,49.2,53.2,63.1,51.8,Mid
CUST-0756AD53,Lumbini Province,Banke,2,Premium Flagship Shopper,46,Female,94750,242726,Samsung,0.5,52.7,51.4,58.7,53.8,57.8,64.7,52.9,Flagship
CUST-076053AB,Lumbini Province,Rupandehi,1,Mainstream Mid-Range Shopper,46,Male,33482,58075,Realme,0.67,48.4,54.5,68.6,46.2,45.1,43.3,67.8,Mid
CUST-0792342D,Gandaki Province,Myagdi,1,Mainstream Mid-Range Shopper,41,Male,44199,61880,Oppo,0.67,56.5,56.6,45.0,67.1,58.2,45.4,48.7,Mid
CUST-0793297B,Bagmati Province,Dolakha,1,Mainstream Mid-Range Shopper,52,Male,32341,55793,Tecno,1.0,41.7,55.2,49.4,55.7,48.9,65.6,63.4,Mid
CUST-079C39CD,Madhesh Province,Mahottari,1,Mainstream Mid-Range Shopper,53,Male,43891,59127,Realme,1.0,41.2,53.9,68.3,55.4,48.5,56.4,86.1,Mid
CUST-07BBF661,Koshi Province,Jhapa,2,Premium Flagship Shopper,42,Male,82409,153382,Honor,0.75,47.4,60.7,79.2,48.7,47.9,51.5,66.9,Flagship
CUST-07C05420,Bagmati Province,Bhaktapur,1,Mainstream Mid-Range Shopper,55,Female,23353,69244,Apple,0.6,49.6,54.4,56.9,53.8,47.7,68.3,79.1,Mid
CUST-07C6D8E1,Koshi Province,Khotang,2,Premium Flagship Shopper,38,Female,82096,245541,Oppo,0.67,54.1,45.6,50.1,46.8,50.6,57.4,61.5,Flagship
CUST-07E8B1FC,Gandaki Province,Manang,1,Mainstream Mid-Range Shopper,38,Male,38044,86307,Realme,0.67,48.9,52.9,52.2,63.8,59.6,73.0,55.5,Mid
CUST-07ECFA9A,Lumbini Province,Banke,1,Mainstream Mid-Range Shopper,47,Female,20120,52861,Tecno,0.67,50.9,55.0,62.4,61.6,59.7,71.0,52.0,Mid
CUST-07F36948,Madhesh Province,Bara,2,Premium Flagship Shopper,52,Male,77228,230502,Xiaomi,0.75,62.3,50.5,77.9,56.5,50.6,58.7,62.9,Flagship
CUST-07F7F248,Bagmati Province,Bhaktapur,2,Premium Flagship Shopper,38,Female,99870,241283,Xiaomi,0.5,36.1,52.1,50.1,49.1,49.3,47.1,64.8,Flagship
CUST-08079A03,Madhesh Province,Saptari,1,Mainstream Mid-Range Shopper,59,Male,39628,69804,Samsung,1.0,53.6,52.7,43.5,49.0,46.3,77.4,62.3,Mid
CUST-081908BD,Madhesh Province,Parsa,1,Mainstream Mid-Range Shopper,41,Male,24108,47798,Xiaomi,1.0,48.8,51.2,50.0,68.5,53.5,64.1,46.3,Mid
CUST-083CD546,Bagmati Province,Dhading,2,Premium Flagship Shopper,41,Female,110604,147880,Oppo,0.67,52.0,59.6,59.7,43.1,35.4,60.9,61.9,Flagship
CUST-08434E2E,Bagmati Province,Sindhuli,2,Premium Flagship Shopper,42,Female,91481,222221,Realme,0.5,51.5,54.3,80.1,47.9,46.4,41.6,63.6,Flagship
CUST-08438A9B,Koshi Province,Udayapur,0,Hardcore Gamer (Flagship),58,Male,28613,47960,Xiaomi,0.8,81.8,53.0,52.1,69.2,77.9,35.8,58.4,Flagship
CUST-085C5042,Koshi Province,Morang,1,Mainstream Mid-Range Shopper,34,Female,21376,61506,Tecno,0.6,42.7,42.6,53.1,63.7,42.2,60.0,44.9,Mid
CUST-086129EC,Lumbini Province,Banke,1,Mainstream Mid-Range Shopper,48,Female,43484,59878,Nokia,0.0,55.7,51.4,43.6,56.4,68.8,64.1,56.3,Mid
CUST-08761D15,Madhesh Province,Sarlahi,1,Mainstream Mid-Range Shopper,49,Male,29446,63564,Realme,1.0,73.1,49.4,49.8,72.4,61.0,47.0,54.2,Mid
CUST-088B1FB5,Lumbini Province,Eastern Rukum,3,Budget Buyer,39,Male,7811,27229,Samsung,0.4,46.6,54.9,62.5,51.4,40.2,49.3,66.5,Budget
CUST-089A04D0,Karnali Province,Dolpa,1,Mainstream Mid-Range Shopper,40,Male,35103,59180,Oneplus,1.0,55.4,49.4,48.5,72.6,71.8,51.2,59.9,Mid
CUST-089F78E3,Koshi Province,Ilam,1,Mainstream Mid-Range Shopper,39,Male,37089,82832,Samsung,1.0,44.6,43.7,49.6,63.1,79.3,66.5,50.9,Mid
CUST-08A23572,Koshi Province,Sunsari,1,Mainstream Mid-Range Shopper,38,Male,42775,56156,Samsung,0.6,52.6,43.6,88.7,52.8,43.3,42.9,69.1,Mid
CUST-08AAA27E,Karnali Province,Mugu,1,Mainstream Mid-Range Shopper,36,Other,32935,46478,Realme,0.0,48.4,52.2,52.0,43.5,44.0,55.4,70.7,Mid
CUST-08AB083C,Bagmati Province,Nuwakot,2,Premium Flagship Shopper,37,Female,94177,154453,Vivo,0.8,49.8,67.3,54.6,47.0,40.8,34.2,58.4,Flagship
CUST-08ACF9A4,Bagmati Province,Dhading,1,Mainstream Mid-Range Shopper,44,Female,28976,81420,Oneplus,1.0,52.5,84.9,63.9,46.4,66.7,62.7,45.5,Mid
CUST-08BFDC69,Bagmati Province,Dolakha,0,Hardcore Gamer (Flagship),43,Male,26159,47851,Motorola,0.5,93.4,47.9,41.6,68.9,80.9,47.4,52.0,Flagship
CUST-08CF7490,Koshi Province,Tehrathum,1,Mainstream Mid-Range Shopper,42,Male,24986,48925,Apple,0.75,43.2,84.2,50.8,40.5,47.0,72.2,56.4,Mid
CUST-08D2C68A,Koshi Province,Okhaldhunga,2,Premium Flagship Shopper,37,Female,114920,188492,Samsung,1.0,50.7,39.1,43.7,75.8,65.0,56.2,46.1,Flagship
